Project,ORR,Org_Location,Organization_Name,State,County,Type,Category,Description,FY,Municipality,Sponsor,"6. Which part of LWCF's mission does the project relate to? 
Select all that apply. - Other (please describe): - Text",Program?," Category (if ""other)",Cost_Range,Estimate_Cost,type_rec,"What other types of recreation would the project support, if ""other""",demographics,app_submitted,shovel-ready,"If project is not shovel ready, what is the projected timeline to get it off the ground?",private_match,"If yes, please describe confirmed funders and level of commitment.","Based on the total cost of the project and the private match secured to date, how much LWCF funding will be required to complete the project?",Please comment on the project’s fit with existing state Statewide Comprehensive Outdoor Recreation Plan (SCORP) or local recreation plans.,Please comment on the project’s current buy-in from state and/or local public agencies committed to its future management.,"Please comment on the project’s current support from local, regional or statewide community and/or elected officials (i.e. NGOs and politicians).","Is the project solving for a broader outdoor recreation need (e.g. improved access for park-poor communities, rural development)? Please explain."
Alburgh Dunes State Park Addition,,Vermont,DNR,Vermont,Grand Isle County,Acquisition,Acquisition,More info available from VT State LWCF Coordinator,FY23 and Beyond,Alburgh,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$750,0001 - $1,000,000",900000,,,,Unknown,,,,,"$250,001 - $500,000",,,,
Arroyo Hondo Trail Segment 1,,New Mexico,Santa Fe County,New Mexico,Santa Fe County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","Final Design, Multi-Use Trail",FY23 and Beyond,Santa Fe region,County of Santa Fe,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1379805,"Backpacking/Hiking,Biking,Wildlife Watching,Archery",,"Rural,Urban,Low-income,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Unknown,Yes,,Yes,County of Santa Fe and NMDOT have provided funding for the other trail segments.,,This Mulituse trail is included and local plans and support the SCORP.,County of Santa Fe and NMDOT have provided funding for the other trail segments.,County of Santa Fe and NMDOT have provided funding for the other trail segments.,Serves a recreational and utilitarian market.
Bennington Long Trail Parking Lot Improvement,,Vermont,DNR,Vermont,Bennington County,,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Bennington,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",34000,Backpacking/Hiking,,,Unknown,,,,,"$0 - $250,000",,,,
Bethel Skatepark Construction,,Vermont,DNR,Vermont,Windsor County,,State/Local park creation,More info available from VT State LWCF Coordinator,FY23 and Beyond,Bethel,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",126000,"Playground,Other (please describe):",Skating,"Rural,Youth,Adults,Unknown",Unknown,,,,,"$0 - $250,000",,,,
Burke Town School Field Improvements and Pump Track,,Vermont,DNR,Vermont,Caledonia County,Development,State/Local park creation,More info available from VT State LWCF Coordinator,FY23 and Beyond,Burke,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",120000,Biking,,,Unknown,,,,,"$0 - $250,000",,,,
Clarendon School Walking Path Construction,,Vermont,DNR,Vermont,Rutland County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Clarendon,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$250,001 - $500,000",350000,Other (please describe):,Walking,"Youth,Adults",Unknown,Unknown,,Unknown,,"$0 - $250,000",,,,
Cross Vermont Trail,,Vermont,DNR,Vermont,Washington County,,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Montpelier,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",200000,Backpacking/Hiking,,,Unknown,,,,,"$0 - $250,000",,,,
Danby Currier Memorial School Playground,,Vermont,DNR,Vermont,Rutland County,Development,Playgrounds (including ADA accessibility),More info available from VT State LWCF Coordinator,FY23 and Beyond,Danby,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",123000,Playground,,Youth,Unknown,,,,,"$0 - $250,000",,,,
Dutch Fork,Sports &  Fitness Industry  Association,Pennsylvania,,Pennsylvania,Washington County,Development,Fishing/Boardwalk,The project would build a suitable boat launch ramp.,FY22,Donegal,Washington County,,State and Local Assistance Program,,"$0 - $250,000",,"Boating,Fishing,Hunting,Canoeing, Kayaking and Rafting,Wildlife Watching,Archery,Diving",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Unknown,Yes,,Unknown,,Unknown,It will add access to the lake,Unknown as the state does not place a large emphasis on improving access or fisheries unless forced,,"The current boat ramp is in suitable for anything bigger than a canoe or kayak.  The ramp was not upgraded prior to refilling, and the other ramp was closed due to access road not being maintained"
Fair Haven Playground Reconstruction,,Vermont,DNR,Vermont,Rutland County,Development,Playgrounds (including ADA accessibility),More info available from VT State LWCF Coordinator,FY23 and Beyond,Fair Haven,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",150000,Playground,,Youth,Unknown,,,,,"$0 - $250,000",,,,
Fairfield Pond Beach and Parking Improvements,,Vermont,DNR,Vermont,Franklin County,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Fairfield,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",23500,,,Unknown,Unknown,,,,,"$0 - $250,000",,,,
Hinesburg Bissonette Field Improvements,,Vermont,DNR,Vermont,Chittenden County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Hinesburg,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$250,001 - $500,000",400000,Ball Sports,,"Youth,Adults",Unknown,,,,,"$0 - $250,000",,,,
Homestead,,Arizona,Access Fund,Arizona,Gila County,Acquisition,Acquisition,"With a narrow window of opportunity, Access Fund secured temporary ownership of a critical access point to The Homestead (BLM Lower Sonoran Unit) in central Arizona to save the area from indefinite closure. With over 250 sport climbs on 12 limestone walls, The Homestead is one of the best winter limestone climbing areas in the country, boasting true “tufa” sport routes. The 360 acres are inholdings within public BLM land and we now need to complete the transfer with LWCF funds.",FY23 and Beyond,,BLM,,Bureau of Land Management,,"$0 - $250,000",150000,"Backpacking/Hiking,Hunting,Wildlife Watching,Rock Climbing",,"Rural,Urban,Communities of color,LGBTQ,Youth,Adults",Unknown,Yes,,Yes,"Access Fund has invested $207,000 into the acquisition and stewardship improvements of the Homestead.","$0 - $250,000",BLM has identified these parcels as a fit for BLM ownership.,The state has been supportive by continuing access for climbers across state trust lands and allowing road repair on their portion of land.,"Local ranchers have also been supportive of conservation and recreational access. We have key NGO support from five local climbing organizations including Arizona Mountaineering Club, Climbing Association of Southern Arizona, Concerned Climbers of Arizona, Queen Creek Coalition, and Southern Arizona Climbers Coalition. Local climbing gyms and climbers across the US have also provided financial support.","These parcels are part of a larger effort to secure key recreation in Arizona. Located only 2 hours from Phoenix and Tuscon, the Homestead is a key climbing area for a growing community of recreational users. With nearby climbing areas and sacred sites threatened by copper mine proposals, conservation of this area is critical."
Hyde Park Ballfield Improvements,,Vermont,DNR,Vermont,Lamoille County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Hyde Park,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",100000,Ball Sports,,,Unknown,,,,,"$0 - $250,000",,,,
Icicle Canyon,,Washington,Access Fund,Washington,Chelan County,Acquisition,Acquisition,"The USFS and Access Fund are negotiating with a landowner in Icicle Canyon outside Leavenworth, WA to purchase a critical inholding in this highly popular recreation corridor. The property features river frontage along Icicle Creek and three popular and historic climbing areas.",FY23 and Beyond,Leavenworth,USFS,,U.S. Forest Service,,"$250,001 - $500,000",500000,"Backpacking/Hiking,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Rock Climbing",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior,Disabled",Unknown,Unknown,,Yes,"Access Fund, $25,000","$250,001 - $500,000",High priority,Multiple agency partners support conservation and recreation of this area.,"Multiple NGOs support the acquisition, including Washington Climbers Coalition, the Mountaineers, Leavenworth Mountain Association, and American Aline Club.  Numerous education and guiding outfits like Northwest Mountain School see this parcel as critical for teaching, youth, beginners, and introducing a broader diversity of interested community members into climbing and outdoor recreation.",It is part of a larger effort to conserve both natural and recreational resources in a region where there is increasing residential development of natural areas and where more recreational areas need to be secured to address growing recreational use.
Interpretive Exhibits and River Trail,,New Mexico,Pajarito Environmental Education Center,New Mexico,Rio Arriba County,Other (please describe on next page):,,"The Pajarito Environmental Education Center and Los Luceros Historic Sites are working together to design and install exhibits in the River House and along the River Trail at Los Luceros. These exhibits will discuss the nature and culture of the area, and will be used for school group visits as well as open to the general public.",FY23 and Beyond,"Alcalde, NM",New Mexico Historic Sites,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Preserving natural areas and wildlife habitat,Supporting local economies and jobs through increased outdoor recreation","State and Local Assistance Program,Unknown",,,,,,,Unknown,,,,,,,,,
Johnson Long Trail Parking Area,,Vermont,DNR,Vermont,Lamoille County,Acquisition,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Vermont,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",60000,Backpacking/Hiking,,,Unknown,,,,,"$0 - $250,000",,,,
Las Vegas Recreation Area Development,,New Mexico,City of Las Vegas,New Mexico,San Miguel County,Planning,State/Local park creation,"The City of Las Vegas has two beautiful reservoirs just north of town. Presently they are closed to the public. We have just started the discussion to open these areas to the public, provide camping and picnic areas as well as allow fishing and non-motorized boating.",FY23 and Beyond,"Las Vegas, NM","Las Vegas, NM",,State and Local Assistance,,,,,,,Unknown,,,,,,,,,
Londonderry Pingree Park Revitalization,,Vermont,DNR,Vermont,Windham County,Development,State/Local park creation,More info available from VT State LWCF Coordinator,FY23 and Beyond,Londonderry,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",55500,"Wildlife Watching,Other (please describe):",Walking,,Unknown,,,,,"$0 - $250,000",,,,
Lowell Lake State Park Addition,,Vermont,DNR,Vermont,Windham County,Acquisition,Acquisition,More info available from VT State LWCF Coordinator,FY23 and Beyond,Londonderry,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$750,0001 - $1,000,000",800000,,,,Unknown,,,,,"$250,001 - $500,000",,,,
Manchester Dana Thompson Memorial Park Renovations,,Vermont,DNR,Vermont,Bennington County,Development,State/Local park creation,More info available from VT State LWCF Coordinator,FY23 and Beyond,Manchester,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",250000,"Backpacking/Hiking,Wildlife Watching",,"Youth,Adults,Senior,Disabled",Unknown,,,,,"$0 - $250,000",,,,
Montpelier Hubbard Park Acquisition,,Vermont,DNR,Vermont,Washington County,Acquisition,Acquisition,More info available from VT State LWCF Coordinator,FY23 and Beyond,Montpelier,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",30000,Biking,,Unknown,Unknown,,,,,"$0 - $250,000",,,,
Mount Adams Backcountry Ski Zone,,Vermont,DNR,Vermont,,Acquisition,Acquisition,More info available from VT State LWCF Coordinator,FY23 and Beyond,,,,State and Local Assistance Program,,"$250,001 - $500,000",400000,Skiing/Snowboarding,,,Unknown,,,,,"$0 - $250,000",,,,
Mount Pisgah Trailhead,,Vermont,DNR,Vermont,Orleans County,Acquisition,Acquisition,More info available from VT State LWCF Coordinator,FY23 and Beyond,Westmore,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",200000,Backpacking/Hiking,,,Unknown,,,,,"$0 - $250,000",,,,
Perry Hill Mountain Bike Addition,,Vermont,DNR,Vermont,Washington County,Acquisition,Acquisition,More info available from VT State LWCF Coordinator,FY23 and Beyond,Waterbury,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$250,001 - $500,000",500000,Biking,,,Unknown,,,,,"$0 - $250,000",,,,
Pinon Hills Golf Course,,New Mexico,City of Farmington Parks and Recreation,New Mexico,San Juan County,Development,Golf Courses,This project includes substantial upgrades to both the course irrigation system and the cart paths.,FY22,Farmington,City of Farmington,,State and Local Assistance Program,,"$1,750,000+",2500000,Other (please describe):,golfing,"Adults,Senior",Unknown,No,unknown,No,,Unknown,,,,
Port Penn Boat Ramp Dock Extensions and Training Wall,Boat Owners Association of the United States,Delaware,Maritime Delaware LLC,Delaware,New Castle County,Development,"Beach/Harbor/Marina (boathouses, beaches piers/pavilions, boat launches)","Port Penn Boat Ramp is an existing Delaware State boat ramp.  It is subject to frequent sediment fill and low water.  In spite of the large parking area, the ramp is never busy because of the low water conditions. Dock extensions would move the useable area to deeper water and a training wall might help with he frequent sedimentation.",FY22,Port Penn,US Fish and Wildlife,,State and Local Assistance,,"$750,0001 - $1,000,000",,"Backpacking/Hiking,Biking,Boating,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Sailing/Motorboating",,"Rural,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Unknown,No,6 months,No,,"$750,0001 - $1,000,000",The project is well-matched with existing SCORP plans,The project has 100% buy-in from state and local agencies.,This project is an extension of an existing state ramp.,Many watermen and recreational anglers an boaters would like better access than what the current ramp provides.  The associated parking is for far more vehicles with trailers than currently use the ramp because of poor access.
Randolph Community Playground,,Vermont,DNR,Vermont,Orange County,,Playgrounds (including ADA accessibility),More info available from VT State LWCF Coordinator,FY23 and Beyond,Randolph,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",30000,Playground,,,Unknown,,,,,"$0 - $250,000",,,,
Richford Playground Improvements,,Vermont,DNR,Vermont,Franklin County,Development,Playgrounds (including ADA accessibility),More info available from VT State LWCF Coordinator,FY23 and Beyond,Richford,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",80000,Playground,,Youth,Unknown,,,,,"$0 - $250,000",,,,
Richmond Tennis Courts,,Vermont,DNR,Vermont,Chittenden County,,Tennis Courts (including pickleball),More info available from VT State LWCF Coordinator,FY23 and Beyond,Richmond,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",80000,Ball Sports,,,Unknown,,,,,"$0 - $250,000",,,,
Sierra Vista Trail - Ladera Canyon Access,,New Mexico,Southern New Mexico Trail Alliance,New Mexico,Doña Ana County,Acquisition,Acquisition,"The project would purchase a private parcel to provide access to the Sierra Vista Trail, a National Recreation Trail, from Ladera Canyon road. (BLM Las Cruces Unit)",FY23 and Beyond,Las Cruces,BLM,,Bureau of Land Management,,Unknown,,"Backpacking/Hiking,Equestrian,Wildlife Watching,Other (please describe):",Trail running,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Unknown,Unknown,,Unknown,,,Provide greater trail connectivity,BLM has discussed this project in the past,Has support from local community and NGO's,"Expanded trail system in OMDP National Monument, connection to neighborhood and Achenbach Canyon trail, increase connectivity of trail system"
St. Albans Collins Perley Field Development,,Vermont,DNR,Vermont,Franklin County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)",More info available from VT State LWCF Coordinator,FY23 and Beyond,St. Albans,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,Unknown,,Ball Sports,,,Unknown,,,,,Unknown,,,,
Whaler Way Boat Ramp,,Florida,City of Edgewater,Florida,Volusia County,Development,State/Local park creation,"The project would create five boat ramps, 100 vehicle and boat trailer parking spaces, a playground, observation pier, restrooms and pavilions.",FY22,Edgewater,City of Edgewater,Provide public access to the waterways,State and Local Assistance Program,,,,,,,Unknown,,,,,,,,,
Williston Alan Brook School Park,,Vermont,DNR,Vermont,Chittenden County,,,More info available from VT State LWCF Coordinator,FY23 and Beyond,Williston,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",160000,,,,Unknown,,,,,"$0 - $250,000",,,,
Winooski Valley Park District Wolcott Natural Area Improvements,,Vermont,DNR,Vermont,Chittenden County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Winooski,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",120000,"Backpacking/Hiking,Wildlife Watching",,,Unknown,,,,,"$0 - $250,000",,,,
Woodstock East End Park and River Loop Trail,,Vermont,DNR,Vermont,Windsor County,,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",More info available from VT State LWCF Coordinator,FY23 and Beyond,Woodstock,"Vermont Department of Forests, Parks and Recreation",,State and Local Assistance Program,,"$0 - $250,000",150000,,,Unknown,Unknown,,,,,"$0 - $250,000",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
